Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10
Alcona,40,37,NA,0,0,0,0,NA,NA
Alger,46,43,NA,NA,0,NA,NA,NA,NA
Allegan,645,618,NA,NA,NA,NA,NA,27,4.2
Alpena,198,197,NA,0,0,0,0,NA,NA
Antrim,148,145,NA,0,0,0,0,NA,NA
Arenac,120,118,NA,NA,0,NA,NA,NA,NA
Baraga,77,77,0,0,0,0,0,0,0
Barry,280,271,NA,NA,NA,7,2.5,9,3.2
Bay,845,801,32,NA,NA,12,1.4,44,5.2
Benzie,114,114,0,0,0,0,0,0,0
Berrien,1143,1100,21,NA,NA,22,1.9,43,3.8
Branch,227,218,NA,NA,0,NA,NA,9,4.0
Calhoun,696,650,13,25,8,33,4.7,46,6.6
Cass,306,298,NA,NA,0,NA,NA,8,2.6
Charlevoix,180,178,NA,NA,0,NA,NA,NA,NA
Cheboygan,163,163,0,0,0,0,0,0,0
Chippewa,170,166,NA,NA,0,NA,NA,NA,NA
Clare,281,280,0,NA,0,NA,NA,NA,NA
Clinton,255,251,NA,0,0,0,0,NA,NA
Crawford,66,65,0,NA,0,NA,NA,NA,NA
Delta,323,305,11,7,0,7,2.2,18,5.6
Dickinson,129,129,0,0,0,0,0,0,0
Eaton,470,449,9,12,0,12,2.6,21,4.5
Emmet,212,212,0,0,0,0,0,0,0
Genesee,3233,3137,48,NA,NA,48,1.5,96,3.0
Gladwin,191,189,NA,NA,0,NA,NA,NA,NA
Gogebic,95,89,NA,NA,0,NA,NA,6,6.3
Grand Traverse,442,430,NA,NA,0,NA,NA,12,2.7
Gratiot,242,241,NA,0,0,0,0,NA,NA
Hillsdale,294,282,NA,NA,0,NA,NA,12,4.1
Houghton,270,261,0,NA,NA,9,3.3,9,3.3
Huron,163,159,NA,0,NA,NA,NA,NA,NA
Ingham,2101,2049,23,NA,NA,29,1.4,52,2.5
Ionia,464,450,NA,NA,NA,NA,NA,14,3.0
Iosco,215,206,NA,NA,NA,NA,NA,9,4.2
Iron,71,70,NA,0,0,0,0,NA,NA
Isabella,310,306,NA,NA,0,NA,NA,NA,NA
Jackson,1405,1314,64,NA,NA,27,1.9,91,6.5
Kalamazoo,1454,1390,50,NA,NA,14,1.0,64,4.4
Kalkaska,73,73,0,0,0,0,0,0,0
Kent,5593,5179,315,88,11,99,1.8,414,7.4
Keweenaw,13,13,0,0,0,0,0,0,0
Lake,74,74,0,0,0,0,0,0,0
Lapeer,463,450,NA,0,NA,NA,NA,13,2.8
Leelanau,94,88,NA,NA,0,NA,NA,6,6.4
Lenawee,400,345,37,NA,NA,18,4.5,55,13.8
Livingston,501,497,NA,NA,0,NA,NA,NA,NA
Luce,56,56,0,0,0,0,0,0,0
Mackinac,83,82,0,NA,0,NA,NA,NA,NA
Macomb,3813,3762,36,NA,NA,15,0.4,51,1.3
Manistee,158,153,NA,0,NA,NA,NA,NA,NA
Marquette,314,309,NA,NA,0,NA,NA,NA,NA
Mason,100,97,NA,NA,0,NA,NA,NA,NA
Mecosta,195,193,NA,0,0,0,0,NA,NA
Menominee,148,141,NA,0,NA,NA,NA,7,4.7
Midland,216,211,NA,NA,0,NA,NA,NA,NA
Missaukee,100,100,0,0,0,0,0,0,0
Monroe,563,553,NA,NA,NA,NA,NA,10,1.8
Montcalm,473,461,NA,NA,0,NA,NA,12,2.5
Montmorency,46,46,0,0,0,0,0,0,0
Muskegon,1053,989,29,28,7,35,3.3,64,6.1
Newaygo,292,287,NA,NA,0,NA,NA,NA,NA
Oakland,3753,3683,33,NA,NA,37,1.0,70,1.9
Oceana,186,185,NA,0,0,0,0,NA,NA
Ogemaw,128,128,0,0,0,0,0,0,0
Ontonagon,25,24,0,NA,0,NA,NA,NA,NA
Osceola,202,200,NA,0,0,0,0,NA,NA
Oscoda,58,58,0,0,0,0,0,0,0
Otsego,153,153,0,0,0,0,0,0,0
Ottawa,1211,1179,NA,NA,0,NA,NA,32,2.6
Presque Isle,77,76,NA,0,0,0,0,NA,NA
Roscommon,155,154,NA,0,0,0,0,NA,NA
Saginaw,"1,775","1,717",46,NA,NA,12,0.7,58,3.3
Saint Clair,"1,177","1,121",49,NA,NA,7,0.6,56,4.8
Saint Joseph,495,472,NA,NA,0,NA,NA,23,4.6
Sanilac,187,182,NA,NA,0,NA,NA,NA,NA
Schoolcraft,58,58,0,0,0,0,0,0,0
Shiawassee,592,555,NA,NA,0,NA,NA,37,6.3
Tuscola,445,440,NA,NA,0,NA,NA,NA,NA
Van Buren,326,305,12,9,0,9,2.8,21,6.4
Washtenaw,992,977,NA,NA,0,NA,NA,15,1.5
Wayne,"14,226","13,359",187,608,72,680,4.8,867,6.1
Wexford,235,232,NA,NA,0,NA,NA,NA,NA
MICHIGAN,"59,361","56,875","1,267","1,078",141,"1,219",2.1,"2,486",4.2
